CST_STD_POLL_ID,CST_POLLUTANT_ID,CST_CAS_NO,CST_POLLUTANT_NAME,CST_STD_POLLUTANT_NAME,ECHO_PARAMETER_DESC,ECHO_POLLUTANT_CODE
148,148,71556,"1,1,1-trichloroethane","1,1,1-trichloroethane",,
396,396,79345,"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane",,
397,397,79005,"1,1,2-trichloroethane","1,1,2-trichloroethane",,
902,902,75354,"1,1-dichloroethylene","1,1-dichloroethylene",,
178,178,95943,"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene",,
644,644,120821,"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene",,
9,9,95501,"1,2-dichlorobenzene","1,2-dichlorobenzene",,
903,903,107062,"1,2-dichloroethane","1,2-dichloroethane",,
398,398,78875,"1,2-dichloropropane","1,2-dichloropropane",,
775,775,122667,"1,2-diphenylhydrazine","1,2-diphenylhydrazine",,
1047,1047,541731,"1,3-dichlorobenzene","1,3-dichlorobenzene",,
280,280,542756,"1,3-dichloropropene","1,3-dichloropropene",,
904,904,106467,"1,4-dichlorobenzene","1,4-dichlorobenzene",,
917,917,1746016,"2,3,7,8-tcdd (dioxin)","2,3,7,8-tcdd (dioxin)",,
1054,211,93721,"2,4,5-tp (silvex)","chlorophenoxy herbicide (2,4,5-tp) [silvex]",,
659,659,95954,"2,4,5-trichlorophenol","2,4,5-trichlorophenol",,
400,400,88062,"2,4,6-trichlorophenol","2,4,6-trichlorophenol",,
653,849,94757,"2,4-d","chlorophenoxy herbicide (2,4-d)",,
269,269,120832,"2,4-dichlorophenol","2,4-dichlorophenol",,
10,10,105679,"2,4-dimethylphenol","2,4-dimethylphenol",,
776,776,51285,"2,4-dinitrophenol","2,4-dinitrophenol",,
777,777,121142,"2,4-dinitrotoluene","2,4-dinitrotoluene",,
905,905,91587,2-chloronaphthalene,2-chloronaphthalene,,
270,270,95578,2-chlorophenol,2-chlorophenol,,
145,145,534521,"2-methyl-4,6-dinitrophenol","2-methyl-4,6-dinitrophenol",,
15,15,91941,"3,3'-dichlorobenzidine","3,3'-dichlorobenzidine",,
909,909,59507,3-methyl-4-chlorophenol,3-methyl-4-chlorophenol,,
1043,779,72548,"4,4'-ddd","p,p'-dichlorodiphenyldichloroethane (ddd)",,
1045,271,72559,"4,4'-dde","p,p'-dichlorodiphenyldichloroethylene (dde)",,
1046,1241,50293,"4,4'-ddt","p,p'-dichlorodiphenyltrichloroethane (ddt)",,
401,401,83329,acenaphthene,acenaphthene,,
11,11,107028,acrolein,acrolein,,
12,12,107131,acrylonitrile,acrylonitrile,,
131,131,309002,aldrin,aldrin,,
1051,797,319846,alpha-bhc,alpha-hexachlorocyclohexane (hch),,
907,907,959988,alpha-endosulfan,alpha-endosulfan,,
639,639,7429905,aluminum,aluminum,,
4,4,120127,anthracene,anthracene,,
266,266,7440360,antimony,antimony,,
5,5,7440382,arsenic,arsenic,Arsenic,467
641,641,1332214,asbestos,asbestos,,
282,101,86500,azinophos,guthion,,
516,516,71432,benzene,benzene,,
6,6,92875,benzidine,benzidine,,
517,517,56553,benzo(a) anthracene,benzo(a) anthracene,,
642,642,50328,benzo(a) pyrene,benzo(a) pyrene,,
900,900,205992,benzo(b) fluoranthene,benzo(b) fluoranthene,,
393,393,207089,benzo(k) fluoranthene,benzo(k) fluoranthene,,
1050,414,319857,beta-bhc,beta-hexachlorocyclohexane (hch),,
901,901,33213659,beta-endosulfan,beta-endosulfan,,
1052,1052,108601,bis(2-chloro-1-methylethyl) ether,bis(2-chloro-1-methylethyl) ether,,
267,267,111444,bis(2-chloroethyl) ether,bis(2-chloroethyl) ether,,
519,519,117817,bis(2-ethylhexyl) phthalate,bis(2-ethylhexyl) phthalate,,
709,709,542881,bis(chloromethyl) ether,bis(chloromethyl) ether,,
643,643,75252,bromoform,bromoform,,
430,430,85687,butylbenzyl phthalate,butylbenzyl phthalate,,
774,774,7440439,cadmium,cadmium,,
792,792,63252,carbaryl,carbaryl,,
